Country Name,Regional Indicator,Year,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Confidence In National Government
Colombia,Latin America and Caribbean,1902,6.024942875,9.277318954,0.910293102,66.31999969,0.80466181,-0.017999403,0.807830036,0.775695443,0.325588256,0.480881035
Costa Rica,Latin America and Caribbean,1902,7.082465172,9.606750488,0.936938047,68.55999756,0.882419884,0.054026622,0.797522187,0.815273166,0.235549212,0.378860384
Cuba,Latin America and Caribbean,1902,5.417868614,,0.969595134,68,0.281457931,,,0.596187174,0.276601523,0.513175547
Cyprus,Western Europe,1902,6.237958431,10.56758976,0.878190467,70.16000366,0.836101174,0.013915932,0.712468922,0.704202533,0.253212214,0.664813399
Dominican Republic,Latin America and Caribbean,1902,5.087967873,9.306493759,0.91889888,65.36000061,0.858241439,0.035150796,0.754729331,0.732519329,0.274338454,0.637337983
Ecuador,Latin America and Caribbean,1902,5.02419138,9.189364433,0.910188437,64.44000244,0.671074986,-0.09399841,0.900686622,0.785477042,0.356847465,0.121483915
El Salvador,Latin America and Caribbean,1902,5.700929642,8.884818077,0.878409147,65.12000275,0.682989538,-0.05917595,0.806595683,0.812613666,0.232691318,0.367073387
Estonia,Central and Eastern Europe,1902,5.371054649,10.26864815,0.91006434,65.77999878,0.748576343,-0.267635405,0.796722651,0.589018345,0.215225026,0.44246769
Finland,Western Europe,1902,7.672449112,10.74531746,0.964562833,68.72000122,0.968580484,-0.008802262,0.132430181,0.682818532,0.172133937,0.757926285
France,Western Europe,1902,6.582700253,10.65402985,0.943929076,70.80000305,0.789120734,0.122206368,0.699270129,0.694246352,0.288682431,0.361352921
Georgia,Commonwealth of Independent States,1902,3.675108433,8.993415833,0.64663595,63.29999924,0.552592635,-0.269846261,0.751933634,0.352651566,0.269383609,0.462540299
Ghana,Sub-Saharan Africa,1902,4.535019875,8.067016602,0.728269994,52.54000092,0.849283397,0.211543143,0.814070404,0.637270749,0.197606653,0.641168416
Guatemala,Latin America and Caribbean,1902,5.901429176,8.849712372,0.830441594,58.97999954,0.663381696,0.169568151,0.706095576,0.789322317,0.287081897,0.385179371
Haiti,Latin America and Caribbean,1902,3.754156113,7.972617149,0.693800747,6.71999979,0.449474722,0.358533382,0.853506446,0.583196223,0.332141399,0.357021451
Honduras,Latin America and Caribbean,1902,5.396519661,8.448007584,0.932676792,63.09999847,0.650253594,0.087854728,0.843539059,0.837169111,0.155473977,0.439894915
Hong Kong S.A.R. of China,East Asia,1902,5.511187077,10.74639988,0.812177718,,0.90982008,0.151303262,0.355984807,0.591139972,0.235955417,0.663937926
India,South Asia,1902,5.348258972,8.141137123,0.707318068,55.86000061,0.773737073,,0.854811728,0.576095998,0.198601618,0.649276435
Indonesia,Southeast Asia,1902,4.946978092,8.839255333,0.770950854,60.31999969,0.713171124,0.345576108,0.915119025,0.715400815,0.265537202,0.595440388
Ireland,Western Europe,1902,7.144246578,10.98210621,0.967041135,69.62000275,0.943274736,0.236721903,0.472848564,0.814784765,0.208633751,0.632926881
Israel,Middle East and North Africa,1902,7.173417091,10.35924149,0.927078903,71.08000183,0.816652834,,0.905374765,0.638606071,0.308495611,0.34179756
Jamaica,Latin America and Caribbean,1902,6.207881927,9.249233246,0.909083962,66.59999847,0.73823607,-0.008541069,0.94598788,0.752819479,0.200846747,0.175664648
Kazakhstan,Commonwealth of Independent States,1902,5.475948334,9.804372787,0.87208885,58,0.730545938,-0.277468532,0.864982486,0.601881087,0.185065165,0.733144045
Kenya,Sub-Saharan Africa,1902,4.223234177,8.16432476,0.908798158,51.41999817,0.615886152,-0.031125981,0.86025697,0.657481313,0.198191911,0.39164722
Kuwait,Middle East and North Africa,1902,6.075547218,11.23256493,0.918950438,68.40000153,0.769072413,-0.240763038,0.32815811,0.78845942,0.182275355,0.799622059
Kyrgyzstan,Commonwealth of Independent States,1902,4.641398907,8.185375214,0.844136536,59.91999817,0.677571654,-0.142216817,0.878633499,0.554507732,0.159482509,0.48456654
Laos,Southeast Asia,1902,5.076225758,8.233675003,0.806987047,55.88000107,0.925082147,0.438292474,0.687814236,0.78951174,0.162684694,0.923247159
Latvia,Central and Eastern Europe,1902,4.70950222,10.04218674,0.884498775,63.09999847,0.640807152,-0.233599529,0.937048614,0.590247095,0.234135449,0.291489393
Lebanon,Middle East and North Africa,1902,4.653103828,9.571557045,0.853151023,65.16000366,0.670193553,0.065851532,0.901959538,0.501354635,0.319716394,0.401410997
Lithuania,Central and Eastern Europe,1902,5.954442978,10.04229259,0.930439949,63.5,0.567254603,-0.298515499,0.966878653,0.56656003,0.25399825,0.205602363
Madagascar,Sub-Saharan Africa,1902,3.979751348,7.351137161,0.711134732,54.13999939,,-0.038257848,,0.562594175,0.161333442,0.71369797
Malawi,Sub-Saharan Africa,1902,3.829868078,7.017002583,0.553878903,45.36000061,0.76714164,0.17483063,0.676439166,0.608673573,0.222251549,0.691727877
Malaysia,Southeast Asia,1902,6.011716843,9.827419281,0.865899801,65.08000183,0.836765766,0.198498324,0.739797235,0.687222064,0.242824569,0.784567058
Mali,Sub-Saharan Africa,1902,4.014075756,7.561395168,0.761116147,49.93999863,0.555075645,-0.071135223,0.761045754,0.747596443,0.208562687,0.645458937
Moldova,Commonwealth of Independent States,1902,5.102071285,8.935538292,0.812182605,59.47999954,0.554478109,-0.166970164,0.926055431,0.553242445,0.254923016,0.406982303
Mozambique,Sub-Saharan Africa,1902,4.594879627,6.791730404,0.878794909,44.81999969,0.684149206,0.038969543,0.757999182,0.602492452,0.326822996,0.556749046
Nepal,South Asia,1902,4.566594601,7.734345436,0.873681068,59.65999985,0.689295828,,0.897136629,0.582539678,0.170838207,0.427687317
New Zealand,North America and ANZ,1902,7.305014133,10.54080963,0.946047485,69.72000122,0.932080269,0.306319982,0.224219151,0.824703038,0.218773201,0.626480997
Nicaragua,Latin America and Caribbean,1902,4.460158348,8.395245552,0.877170146,64.30000305,0.745456338,0.007597657,0.844391346,0.780207157,0.294415772,0.216072738
Niger,Sub-Saharan Africa,1902,3.736951828,6.872498035,0.677165508,50.13999939,0.750336349,0.076448418,0.754975379,0.745853782,0.179303586,0.600507081
Nigeria,Sub-Saharan Africa,1902,4.709745884,8.313640594,0.73517859,50.22000122,0.649139762,0.083538376,0.870748997,0.771529913,0.17823717,0.245243251
Norway,Western Europe,1902,7.415682316,11.04845715,0.958511293,69.40000153,0.959532738,0.102744296,0.397150129,0.766967356,0.197113186,0.682717204
Panama,Latin America and Caribbean,1902,6.127988338,9.770547867,0.950980365,66.86000061,0.882047236,-0.051021133,0.911755919,0.825811207,0.232062608,0.360039532
Paraguay,Latin America and Caribbean,1902,4.730082035,9.153956413,0.895427763,64.87999725,0.691021681,0.05841906,0.840989172,0.751927376,0.302746117,0.305137634
Peru,Latin America and Caribbean,1902,4.810845375,8.979471207,0.874649584,66.45999908,0.667579174,-0.073277101,0.895347834,0.675224841,0.419590116,0.16573818
Philippines,Southeast Asia,1902,4.669945717,8.561695099,0.795313299,61.36000061,0.828273118,0.06099581,0.841298819,0.75597924,,0.571570992
Portugal,Western Europe,1902,5.405246258,10.35852814,0.905289888,68.33999634,0.882068098,-0.182437301,0.880059004,0.646715462,0.333497614,0.452416807
Russia,Commonwealth of Independent States,1902,4.963742733,9.987711906,0.894707382,58.74000168,0.643388212,-0.309966475,0.935101748,0.533524811,0.232429147,0.37003988
Rwanda,Sub-Saharan Africa,1902,4.21470356,7.086945057,0.717583358,53.5,0.915480852,,0.298643529,0.700726748,0.18899633,0.966427267
Senegal,Sub-Saharan Africa,1902,4.417352676,7.929926872,0.760252059,55.5,0.735723555,-0.056021299,0.805329144,0.687083721,0.224989697,0.371702313
Sierra Leone,Sub-Saharan Africa,1902,3.628185034,7.134282589,0.561355948,46.27999878,0.679001093,0.099506438,0.836166084,0.534737051,0.380654573,0.541411996
Singapore,Southeast Asia,1902,6.462702751,11.16699886,0.904328883,71.58000183,0.756873548,0.133671299,,0.688982964,0.266720772,0.905857503
Slovakia,Central and Eastern Europe,1902,5.264676571,9.986261368,0.953579247,65.62000275,0.542479694,-0.051252428,0.945731282,0.585977197,0.307859093,0.163079232
Slovenia,Central and Eastern Europe,1902,5.811264515,10.39857197,0.936075211,68.55999756,0.935824215,0.038996208,0.707797885,0.608156204,0.307204872,0.477644771
South Africa,Sub-Saharan Africa,1902,5.083986759,9.455392838,0.913030207,46,0.648762882,-0.091893308,,0.724232376,0.222731337,0.602337182
South Korea,East Asia,1902,5.332177639,10.30863667,0.775498927,70.01999664,0.71524173,-0.055842292,0.798615158,0.545332074,0.33815217,0.226414487
Sri Lanka,South Asia,1902,4.344610691,8.945660591,0.863598704,62.27999878,0.723847628,0.057247881,0.837784767,0.638567686,0.216329843,0.681650817
State of Palestine,Middle East and North Africa,1902,4.716387749,8.190592856,0.817945421,61.77999878,0.546506464,,0.857823968,0.491536111,0.430579603,
Switzerland,Western Europe,1902,7.473252773,11.06919479,0.951352119,71.16000366,0.91895771,0.284541279,0.407931417,0.742093623,0.211929336,0.631593525
Taiwan Province of China,East Asia,1902,6.189050198,10.60169029,0.882246196,68.68000031,0.629909635,-0.033146396,0.845849812,0.6825158,0.094316125,0.277935207
Tajikistan,Commonwealth of Independent States,1902,4.613099098,7.590978146,0.723840773,60.5,0.701759934,-0.092669666,0.768155158,0.49406299,0.194670647,0.803951442
Tanzania,Sub-Saharan Africa,1902,3.922484159,7.459784985,0.782916188,50.75999832,0.786858559,-0.02690478,0.649104774,0.725443363,0.20923847,0.810298979
Thailand,Sub-Saharan Africa,1902,5.88543272,9.45248127,0.894326627,66.37999725,0.863195002,0.328907818,0.934745491,0.749904871,0.164122775,0.498704374
Togo,Sub-Saharan Africa,1902,3.202429295,7.341597557,0.435413569,50.24000168,0.628228486,-0.026758458,0.849971652,0.570732355,0.348204553,0.319889128
Trinidad and Tobago,Latin America and Caribbean,1902,5.832188606,10.17208767,0.886789143,61.77999878,0.840088725,0.141344205,0.917428493,0.75001967,0.229044273,0.313278943
